Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.140.130-20.189.173.1-39440-443-6,192.168.140.130,39440,20.189.173.1,443,6,25/09/2024 01:04:04 AM,2931691,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3877004773013257,488615.1666666666,537200.4212740033,1023566.0,373.0,1908687.0,954343.5,98490.78223113065,1023987.0,884700.0,2047424.0,682474.6666666666,590717.5610681752,1023999.0,373.0,0,0,0,0,60,80,1.0233002045577109,1.3644002727436146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,4,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-20.189.173.1-39440-443-6,20.189.173.1,443,192.168.140.130,39440,6,25/09/2024 01:04:07 AM,319175,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.266154930680662,319175.0,0.0,319175.0,319175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.133077465340331,3.133077465340331,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-52.178.17.235-52038-443-6,192.168.140.130,52038,52.178.17.235,443,6,25/09/2024 01:04:15 AM,7525434,16,21,11026.0,5625.0,7300.0,0.0,689.125,1835.7857491185257,3120.0,0.0,267.85714285714283,729.3421203875644,2212.629862942124,4.91665995609024,209039.8333333333,356029.62692574575,1023462.0,2.0,7359369.0,490624.6,414045.8389948768,1024014.0,420.0,6595027.0,329751.35000000003,514894.5600409011,2023287.0,2.0,0,0,0,0,320,444,2.126123224255239,2.7905367318350014,0.0,7300.0,438.1842105263158,1304.8684484851578,1702681.6678520627,0,1,0,0,0,0,0,0,1.0,450.02702702702703,689.125,267.85714285714283,0,0,0,0,0,0,16,11026,21,5625,-1,64240,5,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-52.178.17.235-52038-443-6,52.178.17.235,443,192.168.140.130,52038,6,25/09/2024 01:04:22 AM,247727,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.073403383563358,247727.0,0.0,247727.0,247727.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.036701691781679,4.036701691781679,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.208.123-45796-443-6,192.168.140.130,45796,34.120.208.123,443,6,25/09/2024 01:04:33 AM,1491279,9,9,529.0,3797.0,211.0,0.0,58.77777777777778,87.08728061229404,2824.0,0.0,421.8888888888889,927.1219505065723,2900.8656327890353,12.070176003283088,87722.29411764708,294831.3949127884,1229230.0,30.0,1437151.0,179643.875,424999.95488115307,1229230.0,477.0,1491206.0,186400.75,438488.16644555615,1270755.0,3190.0,0,0,0,0,180,204,6.035088001641544,6.035088001641544,0.0,2824.0,227.68421052631584,649.1515019736302,421397.67251461995,0,1,0,0,0,0,0,0,1.0,240.33333333333334,58.77777777777778,421.8888888888889,0,0,0,0,0,0,9,529,9,3797,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-44.235.70.79-48272-443-6,192.168.140.130,48272,44.235.70.79,443,6,25/09/2024 01:04:33 AM,1729594,8,7,674.0,3103.0,517.0,0.0,84.25,180.21475284464685,2600.0,0.0,443.2857142857142,965.3487650042539,2183.7494810920944,8.67255552459132,123542.42857142857,187785.33111127565,513814.0,32.0,1267421.0,181060.14285714287,195796.1722986676,513814.0,293.0,1215429.0,202571.5,180048.52274734163,462126.0,18008.0,0,0,0,0,160,164,4.625362946448704,4.047192578142616,0.0,2600.0,236.06250000000003,651.1232826175598,423961.5291666667,0,1,0,0,0,0,0,0,0.0,251.8,84.25,443.2857142857143,0,0,0,0,0,0,8,674,7,3103,-1,64240,3,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-44.235.70.79-48272-443-6,44.235.70.79,443,192.168.140.130,48272,6,25/09/2024 01:04:35 AM,380995,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,81.36589719025184,7.874119082927598,190497.5,269165.14600612764,380826.0,169.0,380826.0,380826.0,0.0,380826.0,380826.0,0,0,0,0,0,0,0,0,0,40,20,5.249412721951732,2.624706360975866,0.0,31.0,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-54.69.161.86-35512-443-6,192.168.140.130,35512,54.69.161.86,443,6,25/09/2024 01:04:33 AM,5290083,10,10,1554.0,4814.0,880.0,0.0,155.39999999999998,301.2998506471585,1752.0,0.0,481.4,691.5012975001887,1203.7618313361056,3.7806590180154074,278425.42105263163,878516.3700549237,3864006.0,28.0,4977474.0,553052.6666666666,1251367.6675209207,3864689.0,255.0,5286900.0,587433.3333333334,1237921.998361266,3864006.0,1406.0,0,0,0,0,200,224,1.8903295090077037,1.8903295090077037,0.0,1752.0,303.23809523809524,536.1218056339347,287426.59047619055,0,1,0,0,0,0,0,0,1.0,318.4,155.4,481.4,0,0,0,0,0,0,10,1554,10,4814,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.208.123-45806-443-6,192.168.140.130,45806,34.120.208.123,443,6,25/09/2024 01:04:38 AM,322545,10,10,985.0,4098.0,710.0,0.0,98.5,222.79001074753975,1412.0,0.0,409.79999999999995,589.2431680648585,15759.041374071834,62.00685175711916,16976.05263157895,26642.923751957696,77352.0,15.0,267339.0,29704.33333333333,30397.99958056451,77352.0,600.0,316557.0,35173.0,30224.506476533243,78161.0,608.0,0,0,0,0,200,224,31.00342587855958,31.00342587855958,0.0,1412.0,242.04761904761907,453.742270037791,205882.04761904763,0,1,0,0,0,0,0,0,1.0,254.15,98.5,409.8,0,0,0,0,0,0,10,985,10,4098,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-54.69.161.86-35512-443-6,54.69.161.86,443,192.168.140.130,35512,6,25/09/2024 01:04:38 AM,316819,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.469129061072726,158409.5,223568.07232809428,316496.0,323.0,316496.0,316496.0,0.0,316496.0,316496.0,0,0,0,0,0,0,0,0,0,40,20,6.312752707381817,3.1563763536909084,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
