Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
50040,0.0,0.0,3.592379843875172,-1,443,6,278367,0.0,7.184759687750344
443,0.0,0.0,0.0,-1,50040,6,342182,0.0,8.767264204429223
50041,517.0,958.0,1030.029382678563,-1,443,6,5960995,193.60498678776565,4.361687939681211
443,0.0,0.0,0.0,-1,50034,6,9024804,0.0,0.3324171915534121
443,31.0,31.0,1.0677762354343263,-1,50037,6,29032300,21.920310216782973,0.1377775787657195
443,31.0,31.0,1.0465239655844856,-1,50035,6,29621873,21.920310216782973,0.1350353503979981
443,0.0,0.0,0.0,-1,50033,6,24601684,0.0,0.1219428718782015
443,39.0,78.0,4.571483255075889,-1,50013,6,39374529,0.0,0.2285741627537944
443,24.0,24.0,781.7110013911375,-1,50013,6,0,13.856406460551018,562.7871644774533
443,39.0,39.0,1.3707161906426346,-1,49994,6,29181825,22.516660498395403,0.2056074285963952
49994,0.0,0.0,0.0,-1,443,6,310,0.0,6451.612903225807
443,31.0,31.0,1.0389540748784256,-1,50039,6,29837700,21.920310216782973,0.1340585903068936
50127,662.0,662.0,10919.582283641534,-1,443,6,478315,296.05540022097216,25.088069577579628
50136,674.0,965.0,9192.828310202683,-1,443,6,560872,232.93710831160288,26.74406994822348
443,0.0,0.0,110714.28571428572,-1,50136,6,280,0.0,14285.714285714286
50155,682.0,957.0,33591.077639483745,-1,443,6,173945,224.4448707366689,103.48098536893846
50157,661.0,952.0,18178.6314175126,-1,443,6,342325,228.52883531718396,55.50281165559045
50055,704.0,1422.0,134.787207252746,-1,443,6,61125979,249.46958016674384,0.3762720921001527
443,0.0,0.0,781.7110013911375,-1,50157,6,0,0.0,562.7871644774533
50160,664.0,931.0,6958.819145973369,-1,443,6,1062824,259.92492505849964,16.93601198316937
50160,24.0,24.0,16586.0400829302,-1,443,6,1447,16.97056274847714,2073.255010366275
50170,668.0,1154.0,15375.404895517093,-1,443,6,541189,199.66093986829495,49.89014928241335
443,0.0,0.0,781.7110013911375,-1,50170,6,0,0.0,562.7871644774533
50154,957.0,2414.0,2241.345872677889,-1,443,6,3980644,279.0841868206319,10.299840930261537
443,0.0,0.0,751.5754177024918,-1,50154,6,51891,0.0,96.35582278237074
50173,660.0,935.0,3391.113156414583,-1,443,6,1955700,228.649099526514,9.203865623561896
443,0.0,0.0,166.05867763725283,-1,50173,6,186681,0.0,16.070194610056728
50159,672.0,1021.0,738.1941886832891,-1,443,6,5617763,259.72705453445326,2.3140883657783355
50153,665.0,789.0,886.3501390821781,-1,443,6,5815986,245.9347571245365,2.579098367843389
50164,667.0,771.0,890.5066683852507,-1,443,6,5617027,247.30037644628888,2.8484819460543807
443,24.0,24.0,781.7110013911375,-1,50164,6,0,16.97056274847714,562.7871644774533
443,31.0,31.0,203.82534140744684,-1,50153,6,152091,17.8978583448784,26.30004405257379
50169,517.0,958.0,1008.4152896655668,-1,443,6,6086778,201.79351382594592,3.77868225192376
443,0.0,0.0,0.0,-1,50169,6,189324,0.0,10.563901037375082
443,0.0,0.0,0.0,-1,50159,6,3376746,0.0,0.5922861832071468
50181,704.0,1286.0,4839.340779200769,-1,443,6,1479747,250.70930488427345,14.19161518827205
50163,664.0,1369.0,754.0926108762086,-1,443,6,11079541,228.4043441890816,2.2564111636032576
50163,39.0,63.0,197492.1630094044,-1,443,6,319,19.672315572906,12539.184952978056
50179,665.0,769.0,1016.5918598172948,-1,443,6,5478108,231.54168862524207,3.103261198939488
50178,665.0,1874.0,4812.901286339788,-1,443,6,5621765,276.9304146269501,6.759442986321911
50178,24.0,24.0,130434.78260869563,-1,443,6,184,16.97056274847714,16304.347826086956
50189,663.0,938.0,11895.34757889304,-1,443,6,480524,229.667305963586,37.45910714137067
50188,663.0,938.0,11642.582064174205,-1,443,6,492846,229.667305963586,38.55159623898743
50190,663.0,938.0,11649.815243432004,-1,443,6,492540,229.667305963586,38.57554716368214
50191,663.0,938.0,11606.256332577315,-1,443,6,492493,229.667305963586,36.54874282477111
443,0.0,0.0,781.7110013911375,-1,50190,6,0,0.0,562.7871644774533
50186,669.0,944.0,7358.949771790619,-1,443,6,903118,231.70486153109272,19.93095032985723
50182,704.0,808.0,1075.6676271851668,-1,443,6,5187476,245.23574663692776,3.2771235953669957
443,0.0,0.0,0.0,-1,50188,6,368138,0.0,8.149117993795805
443,0.0,0.0,0.0,-1,50191,6,389842,0.0,7.695425326157776
443,0.0,0.0,247.09858436423923,-1,50186,6,125456,0.0,23.912766228797345
443,0.0,0.0,781.7110013911375,-1,50182,6,0,0.0,562.7871644774533
50210,662.0,937.0,13386.451930575156,-1,443,6,424459,229.3278610573579,42.40692269453587
50208,662.0,937.0,13176.113684278886,-1,443,6,431159,229.3278610573579,41.747939855134646
