Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
39440,0.0,0.0,0.0,-1,443,6,2931691,0.0,2.3877004773013257
443,0.0,0.0,0.0,-1,39440,6,319175,0.0,6.266154930680662
52038,7300.0,11026.0,2212.629862942124,-1,443,6,7525434,1835.7857491185257,4.91665995609024
443,0.0,0.0,0.0,-1,52038,6,247727,0.0,8.073403383563358
45796,211.0,529.0,2900.8656327890358,-1,443,6,1491279,87.08728061229404,12.070176003283088
48272,517.0,674.0,2183.7494810920944,-1,443,6,1729594,180.21475284464685,8.67255552459132
443,31.0,31.0,81.36589719025184,-1,48272,6,380995,21.920310216782973,7.874119082927598
35512,880.0,1554.0,1203.7618313361056,-1,443,6,5290083,301.2998506471585,3.780659018015408
45806,710.0,985.0,15759.041374071834,-1,443,6,322545,222.79001074753972,62.00685175711916
443,0.0,0.0,0.0,-1,35512,6,316819,0.0,9.469129061072726
35918,715.0,1322.0,17420.053956281892,-1,443,6,488173,202.21332985050904,53.25980748628048
443,0.0,0.0,0.0,-1,35918,6,47936,0.0,62.58344459279039
35930,1243.0,1849.0,107966.756770853,-1,443,6,556023,247.1351576644775,98.91677142852004
443,0.0,0.0,0.0,-1,35930,6,56344,0.0,53.24435609825359
35932,1243.0,1851.0,14926.487265544478,-1,443,6,348307,353.4230339254799,68.90473059685853
443,0.0,0.0,0.0,-1,35932,6,50354,0.0,59.57818644000477
35942,1243.0,1853.0,27636.69928778963,-1,443,6,476685,353.4881914790811,54.54335672404208
443,0.0,0.0,0.0,-1,35942,6,47778,0.0,41.8602704173469
35952,670.0,1279.0,52318.896678279074,-1,443,6,348765,185.445246799263,83.15054549625106
443,0.0,0.0,0.0,-1,35952,6,47016,0.0,63.808065339458906
42738,1243.0,1855.0,571136.8369575299,-1,443,6,593005,148.7509024796918,269.8122275528874
443,0.0,0.0,0.0,-1,42738,6,47786,0.0,62.779893692713344
42748,670.0,1282.0,1607185.7100812749,-1,443,6,927591,76.7712495278073,215.6122687693175
443,0.0,0.0,0.0,-1,42748,6,61347,0.0,65.20286240565962
