Src IP,Dst IP,Timestamp
192.168.140.130,20.189.173.1,25/09/2024 01:04:04 AM
20.189.173.1,192.168.140.130,25/09/2024 01:04:07 AM
192.168.140.130,52.178.17.235,25/09/2024 01:04:15 AM
52.178.17.235,192.168.140.130,25/09/2024 01:04:22 AM
192.168.140.130,34.120.208.123,25/09/2024 01:04:33 AM
192.168.140.130,44.235.70.79,25/09/2024 01:04:33 AM
44.235.70.79,192.168.140.130,25/09/2024 01:04:35 AM
192.168.140.130,54.69.161.86,25/09/2024 01:04:33 AM
192.168.140.130,34.120.208.123,25/09/2024 01:04:38 AM
54.69.161.86,192.168.140.130,25/09/2024 01:04:38 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:39 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:39 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:39 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:40 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:40 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:41 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:41 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:42 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:42 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:42 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:43 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:43 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:43 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:44 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:44 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:45 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:45 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:45 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:46 AM
34.120.158.37,192.168.140.130,25/09/2024 01:04:46 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:47 AM
192.168.140.130,34.120.158.37,25/09/2024 01:04:46 AM
192.168.140.130,20.42.73.28,25/09/2024 01:04:51 AM
20.42.73.28,192.168.140.130,25/09/2024 01:04:58 AM
